numero;origine_numero;nature;type_organisation;denomination;sigle;objet;siege_social;telephone;declarant;bureau;date_document;qr_present;format;fichier_source;rang_dans_fichier
AS20250049;contenu;definitif;association;"JESUS-CHRIST EST LA REPONSE";;"L'association Jésus Christ est la Réponse a pour but de propager l'Évangile, de
contribuer ou de coordonner des actions d'entraides humanitaires";;"077 94 74 92/062 84 98 98";;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250049 - RD - Jésus-Christ est la Réponse (J.C.R.).pdf";1/1
AS20250050;contenu;definitif;confession_religieuse;"MINISTERES FLOTS D'EAU VIVE";F.E.V;"La mission du Flots d'Eau Vive est d'assurer la célébration du culte selon les saintes Écritures";;"077 74 70 70/011 72 28 69";;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250050 - RD - Ministères Flots d’Eau Vive (F.E.V.).docx";1/1
AS20250050;contenu;definitif;confession_religieuse;"MINISTERES FLOTS D'EAU VIVE";;"La mission du Flots d'Eau Vive est d'assurer la célébration du culte selon les saintes
Écritures";;077879788;;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250050 - RD - Ministères Flots d’Eau Vive (F.E.V.).pdf";1/1
AS20250051;contenu;provisoire;association;"ASSOCIATION ISSINGOU";;;Iwatsi;"077 24 86 90/077 71 12 32";"Monsieur Alexis MOMBO IPONGA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250051 - RP -  ASSOCIATION ISSINGOU.docx";1/1
AS20250051;contenu;provisoire;association;"ASSOCIATION ISSINGOU";;;Iwatsi;"077 24 86 90/077 71 12 32";"Monsieur Alexis MOMBO IPONGA de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250051 - RP -  ASSOCIATION ISSINGOU.pdf";1/1
AS20250052;contenu;provisoire;association;"ASSOCIATION DIBANDI, DIYANGA ET DIBAMBA";;;Diyanda;"074 83 36 60/074 75 36 42";"Monsieur Jean Olivier MOUELE de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250052 - RP - ASSOCIATION DIBANDI, DIYANGA ET DIBAMBA.pdf";1/1
AS20250052;contenu;provisoire;association;"ASSOCIATION DIBANDI, DIYANGA ET DIBAMBA";;;Diyanda;"074 83 36 60/074 75 36 42";"Monsieur Jean Olivier MOUELE de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250052 - RP - ASSOCIATION DIBANDI, DIYANGA ET DIBAMBA.docx";1/1
AS20250053;contenu;provisoire;association;"ASSOCIATION GHEMAGNO GHO TSINA";;;Minongo;"077 01 56 04/ 077 51 73 12";"Monsieur Paul Marie MABILA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250053 - RP - ASSOCIATION GHEMAGNO GHO TSINA.docx";1/1
AS20250053;contenu;provisoire;association;"ASSOCIATION GHEMAGNO GHO TSINA";;;Minongo;"077 01 56 04/ 077 51 73 12";"Monsieur Paul Marie MABILA de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250053 - RP - ASSOCIATION GHEMAGNO GHO TSINA.pdf";1/1
AS20250054;contenu;provisoire;association;"ASSOCIATION MOUTINGOU";;;Mayengue;"074 64 58 17/077 55 21 14";"Madame Géneviève MOULEBOUKA de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250054 - RP - ASSOCIATION MOUTINGOU.pdf";1/1
AS20250054;contenu;provisoire;association;"ASSOCIATION MOUTINGOU";;;Mayengue;"074 64 58 17/077 55 21 14";"Madame Géneviève MOULEBOUKA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250054 - RP - ASSOCIATION MOUTINGOU.docx";1/1
AS20250055;contenu;provisoire;association;"ASSOCIATION KANIGHA TOUENA";;;Moukouagno;"077 73 49 35/077 03 43 74";"Monsieur Agusin NGOYI de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250055 - RP - ASSOCIATION KANIGHA TOUENA.docx";1/1
AS20250055;contenu;provisoire;association;"ASSOCIATION KANIGHA TOUENA";;;Moukouagno;"077 73 49 35/077 03 43 74";"Monsieur Agusin NGOYI de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250055 - RP - ASSOCIATION KANIGHA TOUENA.pdf";1/1
AS20250056;contenu;provisoire;association;"ASSOCIATION DINDEME";;;Tsamba;"077 33 87 29/077 14 86 09";"Madame Georgette MAVETSA de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250056 - RP - ASSOCIATION DINDEME.pdf";1/1
AS20250056;contenu;provisoire;association;"ASSOCIATION DINDEME";;;Tsamba;"077 33 87 29/077 14 86 09";"Madame Georgette MAVETSA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250056 - RP - ASSOCIATION DINDEME.docx";1/1
AS20250057;contenu;provisoire;association;"ASSOCIATION MOUYANGOU MOABI";;;Boussimbi;"076 22 70 58";"Madame Flavienne PANGO de nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250057 - RP - ASSOCIATION MOUYANGOU MOABI.pdf";1/1
AS20250057;contenu;provisoire;association;"ASSOCIATION MOUYANGOU MOABI";;;Boussimbi;"076 22 70 58";"Madame Flavienne PANGO de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250057 - RP - ASSOCIATION MOUYANGOU MOABI.docx";1/1
AS20250058;contenu;provisoire;association;"ASSOCIATION DES ANCIENS ELEVES DU LYCEE SIMON OYONO
ABA'A (l'ALUMNI)";;;Libreville;"074 69 84 89/062 84 63 80";"Monsieur ZUE OVONO Ghislainde nationalité Gabonaise";;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250058 - RP - ASSOCIATION DES ANCIENS ELEVES DU LYCEE SIMON OYONO ABA’A (l’ALUMNI).pdf";1/1
AS20250058;contenu;provisoire;association;"ASSOCIATION DES ANCIENS ELEVES DU LYCEE SIMON OYONO ABA'A (l'ALUMNI)";;;Libreville;"074 69 84 89/062 84 63 80";"Monsieur ZUE OVONO Ghislainde nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250058 - RP - ASSOCIATION DES ANCIENS ELEVES DU LYCEE SIMON OYONO ABA’A (l’ALUMNI).docx";1/1
AS20250059;contenu;definitif;association;"SOCIETE GABONAISE DE FERTILITE";;"Cette association à but non lucratif a pour objectifs d'améliorer la prise en charge des pathologies infertilisantes au Gabon ; Favoriser la collaboration entre personnel médical et paramédical ; promouvoir des projets de recherche sur l'infertilité";;066.24.94.91;;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250059 - RD - SOCIETE GABONAISE DE FERTILITE.docx";1/1
AS20250059;contenu;definitif;association;"SOCIETE GABONAISE DE FERTILITE";;"Cette association à but non lucratif a pour objectifs d'améliorer la prise en charge
des pathologies infertilisantes au Gabon ; Favoriser la collaboration entre personnel
médical et paramédical ; promouvoir des projets de recherche sur l'infertilité";;066.24.94.91;;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250059 - RD - SOCIETE GABONAISE DE FERTILITE.pdf";1/1
AS20250060;contenu;definitif;association;"MILLE ET UN SOURIRES";;"Cette association à but non lucratif a pour objectifs d'apporter un soutien aux
personnes vulnérable, mais aussi de réduire la mortalité prématurée des personnes
âgées";;077.97.07.43;;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250060 - RD - MILLE ET UN SOURIRES.pdf";1/1
AS20250060;contenu;definitif;association;"MILLE ET UN SOURIRES";;"Cette association à but non lucratif a pour objectifs d'apporter un soutien aux personnes vulnérable, mais aussi de réduire la mortalité prématurée des personnes âgées";;077.97.07.43;;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250060 - RD - MILLE ET UN SOURIRES.docx";1/1
AS20250061;contenu;definitif;association;"ENFANTS NECESSITEUX DU GABON";;"Cette association à but non lucratif a pour objectifs la promotion du cadre
d'assistance socio-économique à travers des services et des actions en faveur de tous
les enfants en situation difficile ; de sensibiliser ; d'informer et d'identifier des
besoins réels des enfants en difficulté";;077.39.94.94/066.91.29.00;;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250061 - RD - ENFANTS NECESSITEUX DU GABON  .pdf";1/1
AS20250061;contenu;definitif;association;"ENFANTS NECESSITEUX DU GABON";;"Cette association à but non lucratif a pour objectifs la promotion du cadre d'assistance socio-économique à travers des services et des actions en faveur de tous les enfants en situation difficile ; de sensibiliser ; d'informer et d'identifier des besoins réels des enfants en difficulté";;077.39.94.94/066.91.29.00;;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250061 - RD - ENFANTS NECESSITEUX DU GABON  .docx";1/1
AS20250062;contenu;definitif;association;"SOCIETE GABONAISE DE";;"Cette association à but non lucratif a pour objectifs de mettre en place et promouvoir
le développement de la psychomotricité au Gabon à travers des actions, de
formations ainsi que des journées scientifiques permettant aux professionnels de la
psychomotricité de répondre à des demandes scientifique";;076.28.10.63/074.83.76.59;;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250062 - RD - SOCIETE GABONAISE DE PSYCHOMOTRICITE.pdf";1/1
AS20250062;contenu;definitif;association;"SOCIETE GABONAISE DE PSYCHOMOTRICITE";;"Cette association à but non lucratif a pour objectifs de mettre en place et promouvoir le développement de la psychomotricité au Gabon à travers des actions, de formations ainsi que des journées scientifiques permettant aux professionnels de la psychomotricité de répondre à des demandes scientifique";;076.28.10.63/074.83.76.59;;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250062 - RD - SOCIETE GABONAISE DE PSYCHOMOTRICITE.docx";1/1
AS20250063;contenu;definitif;association;"ASSOCIATION MAKÔSU";;"Cette association à but non lucratif a pour objectifs de promouvoir l'art scénique et la culture gabonaise ; valoriser l'identité culturelle ; soutenir l'identité culturelle ; soutenir les initiatives de développement du pays et de l'Afrique dans les domaines socioculturel et économique";;"074 00 13 45/062 46 49 01";;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250063 - RP - ASSOCIATION MAKÔSU.docx";1/1
AS20250063;contenu;definitif;association;"ASSOCIATION MAKÔSU";;"Cette association à but non lucratif a pour objectifs de promouvoir l'art scénique et
la culture gabonaise ; valoriser l'identité culturelle ; soutenir l'identité culturelle ;
soutenir les initiatives de développement du pays et de l'Afrique dans les domaines
socioculturel et économique";;"074 00 13 45/062 46 49 01";;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250063 - RP - ASSOCIATION MAKÔSU.pdf";1/1
AS20250064;contenu;definitif;association;"CENTRE D'ACTIONS SOCIALES";;"Cette association à but non lucratif a pour objectifs de faciliter l'accès aux soins de
santé aux personnes en difficulté sociale ; mettre en place une protection sociale,
humanitaire aux populations en situation de précarité dans les neuf provinces du
pays";;"077 46 11 45/074 86 50 04";;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250064 - RP - CENTRE D’ACTIONS SOCIALES.pdf";1/1
AS20250064;contenu;definitif;association;"CENTRE D'ACTIONS SOCIALES";;"Cette association à but non lucratif a pour objectifs de faciliter l'accès aux soins de santé aux personnes en difficulté sociale ; mettre en place une protection sociale, humanitaire aux populations en situation de précarité dans les neuf provinces du pays";;"077 46 11 45/074 86 50 04";;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250064 - RP - CENTRE D’ACTIONS SOCIALES.docx";1/1
AS20250065;contenu;definitif;association;"SOCIETE GABONAISE DE";;"Cette association à but non lucratif a pour objectifs de promouvoir la santé
respiratoire, en regroupant tous les médecins pneumologues ou intéressés par la
pneumologie et exerçant au Gabon. Elle a aussi pour but d'élaborer et mettre en
place des programmes de lutte contre les maladies respiratoires";;"077 73 29 88/ 065 18 06 68";;;;;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250065 - RP - SOCIETE GABONAISE DE PNEUMOPHTISIOLOGIE.pdf";1/1
AS20250065;contenu;definitif;association;"SOCIETE GABONAISE DE PNEUMOPHTISIOLOGIE";;"Cette association à but non lucratif a pour objectifs de promouvoir la santé respiratoire, en regroupant tous les médecins pneumologues ou intéressés par la pneumologie et exerçant au Gabon. Elle a aussi pour but d'élaborer et mettre en place des programmes de lutte contre les maladies respiratoires";;"077 73 29 88/ 065 18 06 68";;;;;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/03 Nov 2025/AS20250065 - RP - SOCIETE GABONAISE DE PNEUMOPHTISIOLOGIE.docx";1/1
AS20250065;contenu;definitif;association;"SOCIETE GABONAISE DE PNEUMOPHTISIOLOGIE";;"Cette association à but non lucratif a pour objectifs de promouvoir la santé respiratoire, en regroupant tous les médecins pneumologues ou intéressés par la pneumologie et exerçant au Gabon. Elle a aussi pour but d'élaborer et mettre en place des programmes de lutte contre les maladies respiratoires";;"077 73 29 88/ 065 18 06 68";;;;;DOCX;"02 - ASSOCIATIONS/07 NOVEMBRE/_AS20250065 - RP - SOCIETE GABONAISE DE PNEUMOPHTISIOLOGIE.docx";1/1
AS20250066;contenu;provisoire;association;"RESEAU GABONAIS DES PSYCHOLOGUES DU TRAVAIL ET DES ORGANISATIONS(RGPTO)";;;Libreville;077.35.19.75/066.13.79.15/062.30.21.54;"Madame Georgette NGABOLO épse MAPAGA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/07 NOVEMBRE/ASSOCIATIONS - LOT 1.docx";1/10
AS20250075;contenu;definitif;confession_religieuse;"MINISTERE DE LA VERITE POUR UNE LIBERTE REELLE";;;;065-30-10-18/066-42-29-56;;;;;DOCX;"02 - ASSOCIATIONS/07 NOVEMBRE/STELLA - LOT 2.docx";1/1
AS20250076;contenu;provisoire;confession_religieuse;"EGLISE SEMENCE DE VIE DU GABON (ESVG)";;;Libreville;062.82.27.43;"Monsieur Samson MEDJONGOME ALLOGUE de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/09 NOVEMBRE/_RECEPISSE EGLISES.docx";1/2
AS20250078;contenu;provisoire;confession_religieuse;"ONG MISSION INTERNATIONALE DES FEMMES POSITIONNEES(M.I.F.E.P)";;;Libreville;066.80.98.30/074.89.03.35;"Madame Charlène Angèle BIKENE MBA AUDZAGHE épse MVENKOUELE de nationalité Gabonaise";;;;DOCX;"ASSOCIATIONS du 13_final.docx";1/4
AS20250078;contenu;provisoire;confession_religieuse;"ONG MISSION INTERNATIONALE DES FEMMES POSITIONNEES(M.I.F.E.P)";;;Libreville;066.80.98.30/074.89.03.35;"Madame Charlène Angèle BIKENE MBA AUDZAGHE épse MVENKOUELE de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/09 NOVEMBRE/ASSOCIATIONS du 13_final.docx";1/4
AS20250082;contenu;definitif;confession_religieuse;"EGLISE UNIVERSELLE DU ROYAUME DE DIEU";;;;077-48-83-30;;;;;DOCX;"02 - ASSOCIATIONS/09 NOVEMBRE/ASSOCIATIONS du 13_final_2.docx";1/2
AS20250083;contenu;provisoire;association;"ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE (OESMC)";;;Libreville;"077 97 88 97/074 74 67 71";"Monsieur Philippe VALETTE WORA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/20 Novembre/RECEPISSE PROVISOIRE ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE.docx";1/1
AS20250084;contenu;provisoire;association;"COMITE NATIONAL DU CONSEIL INTERNATIONAL DES MUSEES DU GABON (ICOM-GABON)";;;Libreville;066.04.57.52/077.28.88.70;"Monsieur Germain OWONO ESSONO de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/20 Nov 2025 _ 2/ASSOCIATIONS 3.docx";1/3
AS20250084;contenu;provisoire;association;"ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE (OESMC)";;;Libreville;"077 97 88 97/074 74 67 71";"Monsieur Philippe VALETTE WORA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/20 Nov 2025 _ 2/RECEPISSE PROVISOIRE ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE.docx";1/1
AS20250087;contenu;provisoire;association;"COMITE NATIONAL DU CONSEIL INTERNATIONAL DES MUSEES DU GABON (ICOM-GABON)";;;Libreville;066.04.57.52/077.28.88.70;"Monsieur Germain OWONO ESSONO de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/20 Nov 2025 _ 2/ASSOCIATIONS 3-1.docx";1/3
AS20250090;contenu;provisoire;association;"CENTRE INTERNATIONAL CHRETIEN LA MAISON GLORIEUSE";;;Akanda;"066 07 42 74/065 98 88 72";"Monsieur Lubain PENGUE de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/24 Novembre 2025/RECEPISSE PROVISOIRE CENTRE INTERNATIONAL CHRETIEN LA MAISON GLORIEUSE.docx";1/1
AS20250091;contenu;provisoire;association;"ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE (OESMC)";;;Libreville;"077 97 88 97/074 74 67 71";"Monsieur Philippe VALETTE WORA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/24 Novembre 2025/RECEPISSE PROVISOIRE ORDRE EQUESTRE DE SAINT MARTIN LE CHARITABLE.docx";1/1
AS20250092;contenu;provisoire;association;"L'ASSOCIATION DES EPOUSES DES DOUANIERS DU GABON (A.E.D.G)";;;Libreville;077.85.73.00/066.52.43.85;"Madame Andréa MVOU NDJAMBOU Epse OKOMO de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/10 DECEMBRE 2025/ASSOCIATIONS 04 12.docx";1/5
AS20250097;contenu;provisoire;association;"L'ASSOCIATION KUNDU BA-KASS";;;Libreville;077.31.97.14/066.21.54.88/066.23.37.54;"Madame Nicole BOUANGA MOMBO Epse MAKITA de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/10 DECEMBRE 2025/ASSOCIATIONS 15 12.docx";1/4
AS20250101;contenu;definitif;association;"CENTRE DE COMPETENCES PROFESSIONNELLES ET ENTREPRENEURIALES ZITA OLIGUI NGUEMA";CCPE'ZON;"Cette association à but non lucratif a pour objectif d'offrir des formations dans le but de favoriser l'employabilité, l'insertion professionnelle et le développement des capacités entrepreneuriales des étudiants ou tout autre jeune porteur de projets";;;;;;;DOCX;"02 - ASSOCIATIONS/10 DECEMBRE 2025/RECEPISSE DEFINITIF CENTRE DE COMPETENCES PROFESSIONNELLES ET ENTREPRENEURIALES ZITA OLIGUI NGUEMA.docx";1/1
AS20250102;contenu;provisoire;association;"RESEAU GABONAIS POUR L'ENVIRONNEMENT ET LE DEVELOPPEMENT DURABLE";;"Cette association à but non lucratif a pour objectif la préservation, la protection de l'environnement et la promotion du développement durable au Gabon";;066.18.72.41//074.20.20.85;;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ ASSOCIATIONS 23 12.docx";1/5
AS20250107;contenu;definitif;association;MEKOK-ME-BONE;;;;"062 16 53 12/077 18 68 82";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ Changement de bureau 17.12.docx";1/3
AS20250110;contenu;definitif;association;"LA COLONNE ET L'APPUI DE LA VERITE TABERNACLE";;;;066.40.83.94/074.99.31.29;;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ ETOILE DU SUD.docx";1/1
AS20250111;contenu;definitif;confession_religieuse;"ASSEMBLEE DES DISCIPLES DE JESUS-CHRIST";ADJC;"Cette association à but non lucratif a pour objectif de promouvoir la parole de Dieu, créer des œuvres à caractère social, implanter des lieux de cultes à travers le pays pour un meilleur encadrement des croyants, et entreprendre toute action de nature à édifier spirituellement l'Homme";"Libreville, Téléphone : 077 62 96 74/ 066 85 86 50 ;
Président : MBA OBIANG Louis Wilfried ; 
Secrétaire Général : MENGUE BIVEGUE ITA Epse MBA ;
Trésorier Général : NDONG ONDO Esther.
-82082415748000";"077 62 96 74/ 066 85 86 50";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF ASSEMBLEE DES DISCIPLES DE JESUS CHRIST.docx";1/1
AS20250112;contenu;definitif;confession_religieuse;"EGLISE AUTEL DE LA DESTINEE DES NATIONS";EADN;"Cette association à but non lucratif a pour objectif d'annoncer la bonne nouvelle de Jésus Christ, de réconcilier les hommes avec Dieu et entre eux-mêmes, lutter contre la propagation du mal et assister les nécesiteux";"Libreville, Téléphone : 062 22 21 94/ 077 05 50 10 ;
Président : KOMBE Joseph Belange ; 
Secrétaire Général : IMBOIZOKOU Olga Esther Pépé ;
Trésorier Général : BOUANGA Germaine.
-82105513843000";"062 22 21 94/ 077 05 50 10";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF EGLISE AUTEL DE LA DESTINEE DES NATIONS.docx";1/1
AS20250113;contenu;provisoire;association;"ASSOCIATION MARIALE NOTRE DAME DE L'ESPERANCE (AMNDE)";;;Oyem;"077 36 72 07/077 60 97 30";"Madame MENGUE M'OVONO Paulette de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE PROVISOIRE ASSOCIATION MARIALE NOTRE DAME DE L'ESPERANCE.docx";1/1
AS20250114;contenu;provisoire;confession_religieuse;"FEDERATION DES EGLISES ET DES MISSIONNAIRES AU GABON (FEMIG)";;;Libreville;"066 89 12 12/077 90 47 93";"Monsieur M'BOCK Jean de nationalité Gabonaise";;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE PROVISOIRE FEDERATION DES EGLISES ET DES MISSIONNAIRES AU GABON.docx";1/1
AS20250115;contenu;definitif;confession_religieuse;"MINISTERE D'EVANGELISATION PAR LES";;"Cette association à but non lucratif a pour objectif l'enseignement privé et la propagande religieuse Mâshiah selon la vision énoncée par la Bible";"Libreville, Téléphone : 076 35 22 15/ 066 00 56 50 ;
Président : Guy-Rogers LEYARI ; 
Secrétaire Général : Parfait MEZUI ;
Trésorier Général : Catherine ESSOMEYE.
-82013229152300";"076 35 22 15/ 066 00 56 50";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECPISSE MINISTERE D'EVANGELISATION PAR LES OINTS DE DIEU.docx";1/1
AS20250116;contenu;definitif;confession_religieuse;"EGLISE JESUS CHRIST LIEU DE SECOURS";;"Cette association à but non lucratif a pour objectif d'encadrer par des enseignements bibliques qui sanctifient et élèvent tout homme à la stature parfaite de Christ et participer la vie communautaire";;"077 69 59 87/ 066 82 80 48";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ 116 _ RECEPISSE DEFINITIF EGLISE JESUS CHRIST LIEU DE SECOURS.docx";1/1
AS20250117;contenu;definitif;confession_religieuse;"MINISTERE INTERNATIONAL DE LA FOI";;"Cette association à but non lucratif a pour objectif la propagation du message de l'évangile pour le salut, la délivrance et la restauration des âmes, le perfectionnement des saints par la formation théorique et pratique, et poser des œuvres sociales en faveur des nécessiteux";;"076 29 88 86/ 077 58 08 30";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF MINISTERE INTERNATIONAL DE LA FOI EN JESUS CHRIST.docx";1/1
AS20250118;contenu;definitif;confession_religieuse;"EGLISE DE LA FRATERNITE EVANGELIQUE DE PENTECOTE EN AFRIQUE AU GABON";FEPAGA;"Cette association à but non lucratif a pour objectif de promouvoir l'enseignement de la Parole de Dieu, d'entreprendre toute action de nature à édifier spirituellement l'Homme et d'apporter une aide multiforme et désintéressée aux croyants";"Libreville, Téléphone : 077 14 72 12/ 074 01 01 80 ;
Président : Nicole NTOUNTOUME ; 
Secrétaire Général : Isabelle MBADOUMA ;
Trésorier Général : Maguy ELLA-NGANGA.
-72736429163800";"077 14 72 12/ 074 01 01 80";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF EGLISE DE LA FRATERNITE EVANGELIQUE EN AFRIQUE AU GABON.docx";1/1
AS20250119;contenu;definitif;confession_religieuse;"EGLISE EVANGELIQUE DE REVEIL MORIJA DE LA RESURECTION ET VIE";EERMRV;"Cette association à but non lucratif a pour objectif d'évangéliser et d'enseigner la parole de Dieu aux personnes physiques, aux églises, associations chrétiennes par la tenue des campagnes d'évangélisation, des cultes, séminaires et conférence nationales et internationales";;"077 85 17 36/ 066 63 75 68";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF EGLISE MORIJA.docx";1/1
AS20250120;contenu;definitif;confession_religieuse;"MISSION EVANGELIQUE GABONAISE";MEG;"Cette association à but non lucratif a pour objectif de prêcher l'Evangile de Christ afin de sauver les âmes, de protéger l'évangile de la croix et de mener des activités sociales auprès des personnes démunies";"Libreville, Téléphone : 077 28 64 89/ 065 33 28 19 ;
Président : Pamphile NKOULE ; 
Secrétaire Général : Gisele EAVAMEYO ETOUGHE ;
Trésorier Général : Benedicte Valina EBANG EYAGA.
-70658231143900";"077 28 64 89/ 065 33 28 19";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF MISSION EVANGELIQUE GABONAISE.docx";1/1
AS20250121;contenu;definitif;confession_religieuse;"ASSOCIATION MISSIONAIRES JDO MINISTRIES";AMJDOM;"Cette association à but non lucratif a pour objectif l'expansion de l'Evangile de Jésus-Christ au niveau national et international, la formation pour le perfectionnement des saints en vue de l'œuvre du ministère et la conception des projets d'actions sociales et communautaires";;"076 41 56 41/ 065 38 66 25";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF MISSIONNAIRE JDO.docx";1/1
AS20250122;contenu;definitif;confession_religieuse;"EGLISE INTERNATIONALE FLEUVE DIVIN";;"Cette association à but non lucratif a pour objectif d'apporter par la prédication la bonne nouvelle du salut du Seigneur Jésus-Christ à la croix de Golgotha, aussi bien au Gabon qu'à l'international, la célébration de culte, l'enseignement de la Parole de Dieu en vue d'équiper et de préparer les ch";"Libreville, Téléphone : 074 79 34 77/ 077 55 75 68 ;
Président : MBOUISSOU Frédéric ; 
Secrétaire Général : ADJOUGUI Denise ;
Trésorier Général : N'GUISSIGA MUATUGA Esmie.
-75888326138900";"074 79 34 77/ 077 55 75 68";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIFEGLISE FLEUVE DIVIN.docx";1/1
AS20250123;contenu;definitif;confession_religieuse;"MOUISSI MINISTERE VA A CAPERNAUM";;"Cette association à but non lucratif a pour objectif de réunir les fidèles en vue de servir, de louer et d'adorer le Seigneur Jésus-Christ avec leurs dons, leurs talents et leurs ministères";;"066 38 01 45/ 066 69 73 77";;;;;DOCX;"02 - ASSOCIATIONS/2026 JAN/_ RECEPISSE DEFINITIF MOUISSI MINISTERE.docx";1/1
